id,idea,manual_dev_hours,date,avg_time_hr,success_flag,success_rate_pct,user_id,repeat_flag,baseline_cost_usd,esh_cost_usd,productivity_score,cost_savings_usd
2312,Personalized daily planner with goal setting. (5 hr),5.0,2024-10-07,2.340245625697276,3,85,U00001,0,250.0,2.340245625697276,75.45852624581633,247.65975437430274
3394,AI-powered translation between programming languages (7 hr),7.0,2024-10-07,3.032055247644981,3,85,U00001,1,350.0,3.032055247644981,76.50547751009293,346.96794475235504
7382,AI-Driven Investment Portfolio Manager: Recommends and manages investment portfolios. (12 hr),12.0,2024-10-07,4.2836616174292335,1,95,U00001,1,600.0,4.2836616174292335,85.79084595642692,595.7163383825707
9423,AI-powered SEO keyword generator. (4 hr),4.0,2024-10-07,1.2510578610821497,1,95,U00001,1,200.0,1.2510578610821497,87.11706604188387,198.74894213891784
11224,AI-driven content recommendation system for websites. (6 hr),6.0,2024-10-07,1.3622037059734438,2,90,U00001,1,300.0,1.3622037059734438,86.18898147013277,298.63779629402654
11546,Personalized Course Recommendation Engine: Recommends online courses. (7 hr),7.0,2024-10-07,2.255886168336427,1,95,U00001,1,350.0,2.255886168336427,86.83191642141531,347.7441138316636
12909,Personalized career advisor that provides career guidance and resources. (6 hr),6.0,2024-10-07,2.0219629387032563,3,85,U00001,1,300.0,2.0219629387032563,79.39018530648372,297.97803706129673
2426,Automated test case generator from user stories. (6 hr),6.0,2024-10-06,1.7272695921175485,1,95,U00002,0,300.0,1.7272695921175485,87.86365203941226,298.2727304078825
5691,Automated image upscaler using AI. (4 hr),4.0,2024-10-06,1.4910960449549018,0,100,U00002,1,200.0,1.4910960449549018,88.81677966283823,198.5089039550451
6545,Generate realistic fire and smoke simulations. (2 hr),2.0,2024-10-06,0.5194943877193319,0,100,U00002,1,100.0,0.5194943877193319,92.20758418421002,99.48050561228067
6670,Smart shopping list with price comparison. (7 hr),7.0,2024-10-06,1.7024323167489193,1,95,U00002,1,350.0,1.7024323167489193,89.20386149964749,348.2975676832511
7604,Personalized task automation tool. (4 hr),4.0,2024-10-06,1.1317660835375694,1,95,U00002,1,200.0,1.1317660835375694,88.01175437346822,198.86823391646243
8430,Generate personalized dating profile suggestions. (3 hr),3.0,2024-10-06,1.0889229619813243,3,85,U00002,1,150.0,1.0889229619813243,78.61077038018675,148.91107703801868
9551,An app that detects hate speech and toxicity in online comments. (6 hr),6.0,2024-10-06,1.8548659448452471,1,95,U00002,1,300.0,1.8548659448452471,87.22567027577377,298.14513405515476
11761,Personalized Sales Pitch Generator: Creates sales pitches based on customer needs. (6 hr),6.0,2024-10-06,2.6538136850698963,0,100,U00002,1,300.0,2.6538136850698963,86.73093157465051,297.3461863149301
354,AI-driven customer feedback analysis tool (7 hr).,7.0,2024-10-14,2.997269004783371,2,90,U00003,0,350.0,2.997269004783371,80.15456140807126,347.0027309952166
11762,AI-Powered Market Research Tool: Analyzes market trends and identifies opportunities. (7 hr),7.0,2024-10-14,2.981430132615605,2,90,U00003,1,350.0,2.981430132615605,80.22244228879026,347.0185698673844
11581,AI-assisted brainstorming tool for product ideas. (1 hr),1.0,2024-10-14,0.2225573589519881,0,100,U00003,1,50.0,0.2225573589519881,93.32327923144035,49.77744264104801
10517,A tool to identify and remove duplicate contacts from your phone. 3 hr,3.0,2024-10-14,1.421689785354216,1,95,U00003,1,150.0,1.421689785354216,82.28310214645784,148.5783102146458
7959,Smart Waste Sorting System: Identifies and sorts waste materials for recycling. (11 hr),11.0,2024-10-14,2.62594621481762,1,95,U00003,1,550.0,2.62594621481762,89.33832850504285,547.3740537851824
